iter	Passed	Remaining
687	10005	33624
688	10020	33611
689	10034	33593
690	10048	33577
691	10062	33560
692	10076	33543
693	10090	33529
694	10106	33517
695	10124	33515
696	10138	33500
697	10153	33484
698	10167	33471
699	10182	33458
700	10197	33442
701	10210	33425
702	10225	33411
703	10239	33396
704	10254	33382
705	10269	33368
706	10284	33356
707	10299	33341
708	10312	33323
709	10326	33307
710	10341	33292
711	10354	33274
712	10368	33257
713	10382	33241
714	10396	33225
715	10410	33209
716	10424	33192
717	10438	33175
718	10452	33159
719	10466	33144
720	10480	33127
721	10494	33110
722	10508	33094
723	10521	33076
724	10535	33059
725	10549	33042
726	10563	33026
727	10577	33009
728	10590	32992
729	10604	32974
730	10617	32956
731	10632	32942
732	10645	32924
733	10659	32907
734	10673	32892
735	10687	32875
736	10700	32856
737	10720	32859
738	10740	32861
739	10755	32848
740	10770	32834
741	10784	32817
742	10799	32805
743	10814	32792
744	10829	32778
745	10845	32768
746	10860	32757
747	10878	32751
748	10892	32736
749	10908	32725
750	10923	32712
751	10938	32698
752	10952	32682
753	10967	32670
754	10983	32659
755	10998	32645
756	11012	32630
757	11026	32613
758	11040	32596
759	11053	32579
760	11067	32563
761	11081	32545
762	11095	32528
763	11109	32513
764	11123	32497
765	11138	32483
766	11151	32467
767	11166	32451
768	11180	32435
769	11194	32420
770	11208	32405
771	11222	32388
772	11236	32373
773	11250	32356
774	11264	32339
775	11278	32323
776	11292	32307
777	11306	32291
778	11320	32275
779	11334	32260
780	11348	32243
781	11362	32227
782	11376	32211
783	11389	32194
784	11404	32180
785	11419	32165
786	11433	32149
787	11447	32133
788	11461	32117
789	11475	32101
790	11489	32085
791	11503	32069
792	11517	32053
793	11532	32041
794	11552	32042
795	11567	32029
796	11582	32015
797	11597	32002
798	11612	31987
799	11626	31972
800	11640	31956
801	11656	31945
802	11673	31938
803	11690	31931
804	11708	31924
805	11727	31924
806	11743	31913
807	11761	31907
808	11780	31904
809	11796	31894
810	11813	31885
811	11826	31868
812	11840	31852
813	11855	31837
814	11869	31823
815	11884	31809
816	11900	31796
817	11915	31785
818	11929	31769
819	11945	31757
820	11960	31743
821	11974	31726
822	11988	31711
823	12002	31696
824	12016	31681
825	12031	31667
826	12046	31651
827	12060	31635
828	12074	31619
829	12088	31604
830	12103	31592
831	12118	31577
832	12132	31562
833	12146	31545
834	12159	31527
835	12173	31510
836	12187	31494
837	12200	31477
838	12214	31460
839	12228	31443
840	12241	31426
841	12255	31409
842	12270	31396
843	12284	31381
844	12298	31366
845	12313	31350
846	12326	31334
847	12342	31321
